50帧频道,#genre#
河南公共,http://222.89.28.102:808/hls/38/index.m3u8
河南农村,http://171.13.119.47:808/hls/39/index.m3u8
河南农村,http://222.89.28.102:808/hls/39/index.m3u8
河南卫视,http://111.225.94.110:33333/hls/52/index.m3u8
河南卫视,http://111.225.94.14:33333/hls/52/index.m3u8
河南卫视,http://111.225.94.238:33333/hls/52/index.m3u8
河南卫视,http://121.24.98.5:8090/hls/34/index.m3u8
河南卫视,http://123.11.144.185:22222/hls/16/index.m3u8
河南卫视,http://123.183.76.21:808/hls/36/index.m3u8
河南卫视,http://171.13.119.47:808/hls/31/index.m3u8
河南卫视,http://222.89.28.102:808/hls/31/index.m3u8
河南卫视,http://61.52.157.201:808/hls/16/index.m3u8
河南影视,http://171.13.119.47:808/hls/35/index.m3u8
河南影视,http://222.89.28.102:808/hls/35/index.m3u8
湖北卫视,http://111.225.94.110:33333/hls/44/index.m3u8
湖北卫视,http://111.225.94.14:33333/hls/44/index.m3u8
湖北卫视,http://111.225.94.238:33333/hls/44/index.m3u8
湖北卫视,http://121.24.98.5:8090/hls/57/index.m3u8
湖北卫视,http://123.183.76.21:808/hls/41/index.m3u8
湖北卫视,http://171.13.119.47:808/hls/77/index.m3u8
湖北卫视,http://222.89.28.102:808/hls/77/index.m3u8
湖北卫视,http://61.52.157.201:808/hls/47/index.m3u8
辽宁卫视,http://111.225.94.110:33333/hls/35/index.m3u8
辽宁卫视,http://111.225.94.14:33333/hls/35/index.m3u8
辽宁卫视,http://111.225.94.238:33333/hls/35/index.m3u8
辽宁卫视,http://121.24.98.5:8090/hls/59/index.m3u8
辽宁卫视,http://123.183.76.21:808/hls/33/index.m3u8
辽宁卫视,http://171.13.119.47:808/hls/69/index.m3u8
辽宁卫视,http://222.89.28.102:808/hls/69/index.m3u8
公共,http://61.52.157.201:808/hls/23/index.m3u8
邯郸公共,http://121.24.98.5:8090/hls/88/index.m3u8
信阳公共,http://171.13.119.47:808/hls/101/index.m3u8
信阳公共,http://222.89.28.102:808/hls/101/index.m3u8
CCTV1综合,http://171.13.119.47:808/hls/1/index.m3u8
CCTV1综合,http://222.89.28.102:808/hls/1/index.m3u8
CCTV10科教,http://171.13.119.47:808/hls/10/index.m3u8
CCTV10科教,http://222.89.28.102:808/hls/10/index.m3u8
CCTV13新闻,http://171.13.119.47:808/hls/13/index.m3u8
CCTV13新闻,http://222.89.28.102:808/hls/13/index.m3u8
安新电视,http://123.183.76.21:808/hls/65/index.m3u8
安新电视台,http://111.225.94.110:33333/hls/77/index.m3u8
安新电视台,http://111.225.94.14:33333/hls/77/index.m3u8
安新电视台,http://111.225.94.238:33333/hls/77/index.m3u8
保定新闻综合,http://123.183.76.21:808/hls/73/index.m3u8
定兴电视台,http://111.225.94.110:33333/hls/80/index.m3u8
定兴电视台,http://111.225.94.14:33333/hls/80/index.m3u8
定兴电视台,http://111.225.94.238:33333/hls/80/index.m3u8
定州电视台,http://111.225.94.110:33333/hls/72/index.m3u8
定州电视台,http://111.225.94.14:33333/hls/72/index.m3u8
定州电视台,http://111.225.94.238:33333/hls/72/index.m3u8
都市生活,http://61.52.157.201:808/hls/85/index.m3u8
都市生活6,http://61.52.157.201:808/hls/87/index.m3u8
阜平电视台,http://111.225.94.110:33333/hls/66/index.m3u8
阜平电视台,http://111.225.94.14:33333/hls/66/index.m3u8
阜平电视台,http://111.225.94.238:33333/hls/66/index.m3u8
高碑店电视,http://111.225.94.110:33333/hls/78/index.m3u8
高碑店电视,http://111.225.94.14:33333/hls/78/index.m3u8
高碑店电视,http://111.225.94.238:33333/hls/78/index.m3u8
邯郸科教,http://121.24.98.5:8090/hls/89/index.m3u8
邯郸新闻,http://121.24.98.5:8090/hls/87/index.m3u8
涞源综合,http://111.225.94.110:33333/hls/79/index.m3u8
涞源综合,http://111.225.94.14:33333/hls/79/index.m3u8
涞源综合,http://111.225.94.238:33333/hls/79/index.m3u8
满城电视台,http://111.225.94.110:33333/hls/70/index.m3u8
满城电视台,http://111.225.94.14:33333/hls/70/index.m3u8
满城电视台,http://111.225.94.238:33333/hls/70/index.m3u8
曲阳电视台,http://111.225.94.110:33333/hls/71/index.m3u8
曲阳电视台,http://111.225.94.14:33333/hls/71/index.m3u8
曲阳电视台,http://111.225.94.238:33333/hls/71/index.m3u8
山东教育,http://111.225.94.110:33333/hls/48/index.m3u8
